,name,id
0,Aksesuar,368
1,Ayakkabı,403
2,Giyim,522
3,Ev & Mobilya,758
4,Kozmetik & Kişisel Bakım,1070
5,Elektronik,1071
6,Süpermarket,1219
7,Yaşam,2859
8,Anne & Bebek & Çocuk,2862
9,Spor & Outdoor,3186
10,Ek Hizmetler,3981
11,Saat,387
12,Şapka,394
13,Takı & Mücevher,396
14,Çanta,435
15,Atkı & Bere & Eldiven,1162
16,Kemer & Pantolon Askısı,1165
17,Kravat & Kol Düğmesi,1166
18,Altın,1228
19,Diğer Aksesuar,2872
20,Şal & Fular & Eşarp,2875
21,Gözlük,2876
22,Saç Aksesuarı,2878
23,Aksesuar Set,3074
24,Saat Seti,3243
25,Gavroş,4527
26,Bot & Çizme,406
27,Sandalet ve Terlik,417
28,Spor Ayakkabı,420
29,Topuklu Ayakkabı,430
30,Ev Terliği & Botu,1170
31,Günlük Ayakkabı,1171
32,Ayakkabı Bakım Malzemeleri,3255
33,Abiye & Mezuniyet Elbisesi,543
34,Gelinlik,548
35,İç Giyim,549
36,Plaj Giyim,576
37,Takımlar,584
38,Takım Elbise,588
39,Kimono&Kaftan,607
40,Bebek Giyim,1179
41,Elbise,1182
42,Kostüm,1189
43,Salopet & Tulum,1192
44,Hamile Giyim,2269
45,Mezuniyet Elbisesi,2332
46,Tesettür Giyim,2729
47,Dış Giyim,2867
48,Alt Giyim,2869
49,Ev Giyim,2870
50,Üst Giyim,2871
51,Büyük Beden,2961
52,Fantezi Giyim,3095
53,İş Kıyafetleri,3914
54,Spor Tulum,4572
55,Smokin,5029
56,Banyo,452
57,Ev Dekorasyon,458
58,Ev Gereçleri,475
59,Ev Tekstili,476
60,Halı & Kilim & Paspas,484
61,Mobilya,503
62,Sofra & Mutfak,896
63,Elektrik & Aydınlatma,930
64,Perde,1847
65,Sanat Eseri,4530
66,Bebek & Çocuk Ev Ürünleri,4902
67,Makyaj,641
68,Ağız Bakım,1201
69,Cilt Bakım,1203
70,Kadın Hijyen,1204
71,Saç Bakım,1209
72,Parfüm ve Deodorant,2425
73,Diğer Kişisel Bakım Ürünleri,2428
74,"Tıraş, Ağda ve Epilasyon",2430
75,Elektrikli Ev Aletleri,464
76,Foto & Kamera,760
77,Oyun & Oyun Konsolları,786
78,Beyaz Eşya,1212
79,Bilgisayar ve Bileşenleri,1213
80,Giyilebilir Teknoloji,1215
81,Klima & Isıtıcı,1217
82,"TV, Görüntü & Ses Sistemleri",1221
83,Yazıcı & Tarayıcı,1222
84,Kişisel Bakım Aletleri,2373
85,Dijital Kod & Ürünler,2997
86,Elektronik Aksesuarlar,4938
87,Tablet Grubu,5249
88,Telefon,5250
89,Pet Shop,1028
90,Ev Bakım ve Temizlik,1382
91,Ev Tüketim Malzemeleri,1383
92,Gıda & İçecek,1385
93,Sağlık,2377
94,Anne ve Bebek Bakım,2861
95,Kişisel Bakım,2901
96,Hobi & Eğlence,685
97,Kitap,687
98,Otomobil & Motosiklet,790
99,Kırtasiye & Ofis Malzemeleri,1216
100,Bahçe ve Yapı Market,2469
101,Çocuk Gereçleri,674
102,Oyuncak,1010
103,Bebek Hediyelik,2164
104,Anne Bebek Ürünleri,5216
105,Ekipman & Aksesuar,1038
106,Spor Giyim,3187
107,Acil Durum & Güvenlik Ekipman,3825
108,Montaj Hizmeti,3982
109,Sigorta Hizmeti,4595
110,Eğitim Hizmeti,5193
111,Bileklik,397
112,Kolye,399
113,Küpe,400
114,Yüzük,401
115,Şahmeran,724
116,Halhal & Ayak Aksesuarları,725
117,Vücut Aksesuarları,726
118,Choker,968
119,Set & Takım,1263
120,Bilezik,2253
121,Hızma,3077
122,Piercing,3078
123,Kıkırdak Küpe,3415
124,İnci Set Takım,5209
125,Charm,5244
126,Charm Taşıyıcı,5245
127,Kolye Ucu,5246
128,Abiye Çanta,436
129,Laptop & Evrak Çantası,444
130,Portföy & Clutch Çanta,446
131,Postacı Çantası,447
132,Sırt Çantası,448
133,Spor Çantası,449
134,Valiz & Bavul,450
135,Plaj Çantası,969
136,Omuz Çantası,971
137,Beslenme Çantası,973
138,Okul Çantası,974
139,Bel Çantası,1784
140,Cüzdan,1806
141,Kartlık,1807
142,Çanta Aksesuarları,1855
143,El Çantası,2197
144,Valiz Kılıfı,2955
145,Atkı,382
146,Bere,384
147,Eldiven,385
148,Boyunluk,962
149,Atkı & Bere & Eldiven Set,1805
150,Atkı & Bere Takımı,3185
151,Kemer,380
152,Pantolon Askısı,1799
153,Kol Düğmesi,371
154,Mendil,373
155,Papyon,1797
156,Kravat,1798
157,Tam Altın,1229
158,Yarım Altın,1230
159,Çeyrek Altın,1231
160,Gram Altın,1232
161,Cumhuriyet Altını,1234
162,Reşat Altın,1236
163,Ata Altın,1237
164,Yatırımlık Altın Bilezik,3017
165,Gram Gümüş,4050
166,Diğer Aksesuarlar,369
167,Şemsiye,395
168,Duvak & Gelin Aksesuarı,1163
169,Tesbih,1823
170,Anahtarlık,2840
171,Geçici Dövme,2873
172,Broş,2874
173,Yaka İğnesi,2879
174,Peruk,3076
175,Rozet,3087
176,Ayakkabı Bağcığı,3261
177,Saat Kordonu,3407
178,Fular,392
179,Şal,393
180,Güneş Gözlüğü,379
181,İmaj Gözlüğü,2268
182,Gözlük Kabı,2877
183,Gözlük Aksesuarı,2956
184,Mavi Işık Korumalı Gözlük,4670
185,Diğer Saç Aksesuarları,388
186,Bandana,1046
187,Taç,1794
188,Toka,1795
189,Saç Bandı,1796
190,Bot & Bootie,407
191,Çizme,408
192,Kar Botu,3182
193,Sandalet,418
194,Terlik,419
195,Deniz Ayakkabısı,1026
196,Spor Sandalet,3183
197,Spor Terlik,3184
198,Basketbol Ayakkabısı,421
199,Fitness Ayakkabısı,422
200,Koşu & Antrenman Ayakkabısı,425
201,Halı Saha Ayakkabısı,426
202,Outdoor Ayakkabı,427
203,Tenis Ayakkabısı,428
204,Yürüyüş Ayakkabısı,429
205,Sneaker,975
206,Voleybol Ayakkabısı,2722
207,Güreş Ayakkabısı,3758
208,Boks Ayakkabısı,3800
209,Krampon,3929
210,Bisiklet Ayakkabısı,4538
211,Abiye Ayakkabı,431
212,Dolgu Topuklu Ayakkabı,432
213,Klasik Topuklu Ayakkabı,434
214,Stiletto,5232
215,Panduf,957
216,Ev Terliği,958
217,Patik,959
218,Ev Botu,960
219,Babet,410
220,Casual Ayakkabı,411
221,Espadril,412
222,Klasik Ayakkabı,416
223,Oxford Ayakkabı,1825
224,Loafer Ayakkabı,1826
225,Ayakkabı Boyası,3256
226,Ayakkabı Cilası,3257
227,Ayakkabı Spreyi,3258
228,Ayakkabı Bakım Süngeri,3259
229,Ayakkabı Kalıbı,3260
230,Çorap,550
231,Babydoll,552
232,Kombinezon,555
233,Jartiyer,558
234,Korse,560
235,Sütyen,567
236,Boxer,570
237,Slip,571
238,String,574
239,İç Giyim Aksesuarları,575
240,Atlet,603
241,Külot,1016
242,Spor Sütyeni,1027
243,Termal Giyim & İçlik,1041
244,Fanila,2142
245,İç çamaşırı takımları,2144
246,Diyabetik Çorap,4596
247,Bikini Altı,578
248,Bikini Takımı,579
249,Bikini Üstü,580
250,Deniz Şortu,581
251,Mayo,583
252,Pareo,944
253,Tankini,945
254,Plaj Elbisesi,1018
255,Bone & Deniz Gözlüğü,1044
256,Mayokini,2158
257,Slip Mayo,2159
258,Plaj Havlusu,2243
259,Alt-Üst Takım,2160
260,Bebek Body & Zıbın,936
261,Bebek Takımları,947
262,Hastane Çıkışları,948
263,Bebek Tulumu,2866
264,Müslin Bez,4979
265,Salopet,545
266,Tulum,546
267,Hamile Gömlek,2270
268,Hamile Pançosu,2271
269,Hamile Bluz & Tunik,2272
270,Hamile Taytı,2273
271,Hamile Kazak & Hırka,2274
272,Hamile Gecelik,2275
273,Hamile Pantolonu,2276
274,Hamile Body,2277
275,Hamile Salopet & Tulum,2278
276,Hamile Kaban & Mont,2279
277,Hamile Çorabı,2280
278,Hamile T-Shirt,2281
279,Hamile Ceket & Yelek,2282
280,Hamile Plaj Giyim,2283
281,Hamile Eşofman,2284
282,Hamile Şort&Bermuda,2285
283,Hamile Etek,2286
284,Lohusa Seti,2287
285,Hamile Elbisesi,2288
286,Hamile İç Giyim,2289
287,Hamile Alt-Üst Takım,2290
288,Hamile Abiye,2291
289,Hamile Pijama,2292
290,Hamile Sweatshirt,2293
291,Hamile Sabahlık,3242
292,Eşarp,391
293,Kap & Ferace,721
294,Tesettür Ceket & Yelek,2730
295,Tesettür Elbise,2731
296,Tesettür Panço,2732
297,Tesettür Bluz & Tunik,2733
298,Tesettür Kimono & Kaftan,2734
299,Tesettür Kazak & Hırka,2735
300,Tesettür Etek,2736
301,Tesettür Sweatshirt,2737
302,Tesettür Tayt,2738
303,Tesettür Abiye,2739
304,Tesettür T-Shirt,2740
305,Tesettür Eşofman,2741
306,Tesettür Salopet & Tulum,2742
307,Tesettür Yağmurluk&Rüzgarlık,2743
308,Tesettür Takımlar,2744
309,Tesettür Plaj Giyim,2745
310,Tesettür Gömlek,2746
311,Tesettür Kaban & Mont,2747
312,Tesettür Pantolon,2748
313,Tesettür Body,2749
314,Tesettür Mezuniyet Elbisesi,2750
315,Tesettür Pardesü & Trençkot,2751
316,Panço,537
317,Yağmurluk&Rüzgarlık,541
318,Ceket & Yelek,1181
319,Kaban & Mont,1187
320,Pardesü & Trençkot,1190
321,Etek,526
322,Pantolon,529
323,Şort & Bermuda,530
324,Tayt,531
325,Eşofman,1183
326,Jeans,1186
327,Kumaş Pantolon,3902
328,Gecelik,553
329,Pijama,561
330,Sabahlık,2358
331,Body,592
332,Büstiyer,593
333,Gömlek,597
334,Sweatshirt,601
335,T-Shirt,604
336,Bluz & Tunik,1180
337,Softshell & Polar,1185
338,Kazak & Hırka,1188
339,Polo Yaka T-shirt,2949
340,Büyük Beden Elbise,2962
341,Büyük Beden Etek,2963
342,Büyük Beden Gömlek,2964
343,Büyük Beden Abiye Elbise,2965
344,Büyük Beden Pantolon,2966
345,Büyük Beden Sweatshirt,2967
346,Büyük Beden Tayt,2968
347,Büyük Beden T-Shirt,2969
348,Büyük Beden Bluz,2970
349,Büyük Beden Tunik,2971
350,Büyük Beden Ceket,2972
351,Büyük Beden Yelek,2973
352,Büyük Beden Eşofman Altı,2974
353,Büyük Beden Kaban,2975
354,Büyük Beden Mont,2976
355,Büyük Beden Hırka,2977
356,Büyük Beden Kazak,2978
357,Büyük Beden Trençkot,2979
358,Büyük Beden Mayo,2980
359,Büyük Beden Tulum,2981
360,Büyük Beden Şort & Bermuda,2982
361,Büyük Beden Eşofman Takımı,2983
362,Büyük Beden Abiye Takım,3535
363,Büyük Beden Pijama Altı,3609
364,Büyük Beden Pijama Takımı,3610
365,Büyük Beden Pijama Üstü,3611
366,Fantezi İç Giyim,3096
367,Fantezi Kostüm,3097
368,Fantezi Aksesuar,3098
369,Klozet Takımı,838
370,Bebek Havlu & Bornoz,1173
371,Banyo Aksesuarı,2242
372,Banyo Tekstili,4897
373,Banyo Aksesuarları,4898
374,Ayna,460
375,Çerçeve & Fotoğraf Albümü,461
376,Masa Saati,840
377,Duvar Kağıdı,841
378,Tablo,842
379,Diğer Dekoratif Aksesuarlar,843
380,Dekoratif Obje ve Biblo,1877
381,Kapı Süsü,1878
382,Kırlent & Kırlent Kılıfı,1879
383,Mum & Kandil,1880
384,Vazo,1881
385,Şamdan & Mumluk,1882
386,Kokulu Mum ve Jel,2455
387,Dekoratif Ürünler,2649
388,Duvar Saati,2885
389,Yapay & Kuru Çiçek,2995
390,Duvar Dekorasyon Ürünleri,3014
391,Kül Tablası,3167
392,Dekoratif Tabak & Kase,3464
393,Dekoratif Sticker,3465
394,Duvar Örtüsü,3536
395,Dekoratif Aydınlatma ve Gece Lambası,3821
396,Yapışkanlı Folyo,3823
397,Dekoratif Kutu,4762
398,Kitap Tutucu,4763
399,Magnet,4764
400,Tütsü ve Buhurdanlık,4986
401,Paravan ve Seperatör,5089
402,Oda Kokusu,5253
403,Ütü Masası ve Aksesuarları,870
404,Çamaşır Kurutmalık,871
405,Çamaşır Sepeti,872
406,Düzenleyici,1883
407,Pratik Temizlik Gereci,2266
408,Pazar Arabası & Çantası,2830
409,Pratik Ev Gereci,2951
410,Çöp Kovası,4028
411,Depolama&Düzenleme Ürünleri,4693
412,Plastik Ev Gereçleri,4696
413,Çamaşır İpi Mandal File,5186
414,Şişe Açacağı,5206
415,Mutfak Tekstili,890
416,Yatak Odası Tekstili,1846
417,Bebek&Çocuk Odası Tekstili,1858
418,Salon Tekstili,3082
419,Halı,1852
420,Kilim,1853
421,Yolluk,1854
422,Kapı Önü Paspası,2375
423,Halı Örtüsü,2855
424,Mutfak Halısı,3411
425,Seccade,3537
426,Ofis Mobilyaları,2012
427,Antre & Hol,2083
428,Çalışma Odası,2084
429,Bahçe Mobilyaları,2085
430,Salon & Oturma Odası,2087
431,Yatak Odası,2088
432,Yemek Odası,2089
433,Mutfak & Banyo Mobilyası,4901
434,Bebek & Çocuk Odası Mobilyası,4989
435,Sofra,516
436,Runner&Amerikan Servisi,892
437,Pişirme,909
438,Yemek Hazırlık,2134
439,Kesme Tahtası,2137
440,Rende,2138
441,Süzgeç,2139
442,Mutfak Saklama ve Düzenleme,2188
443,Baharatlık,2189
444,Bulaşıklık,2190
445,Ekmek Kutusu ve Sepetleri,2191
446,Kaşıklık,2192
447,Kavanoz,2193
448,Mutfak Çöp Kovası,2194
449,Patates Soğan Sepeti,2195
450,Sebzelik,2196
451,Endüstriyel Mutfak Ekipmanları,3172
452,Bardak Altlığı,3612
453,Buz Kalıbı,3962
454,Damacana Pompası,4125
455,Saklama Kapları,4459
456,Çay ve Kahve Demleme,4460
457,Pastacılık Ekipmanları,4469
458,Öğütücü Değirmenler,5200
459,Manuel Kıyma Makinası,5228
460,Abajur,931
461,Aplik,933
462,Avize,934
463,Lambader,935
464,Masa Lambası,1514
465,Gece Lambası,4542
466,Tül Perde,895
467,Fon Perde,1848
468,Stor Perde,1849
469,Cibinlik,2241
470,Perde Aksesuarı,2991
471,Resim,4531
472,Baskı ve Gravür,4532
473,Seramik ve Cam,4533
474,Dijital Baskı,4534
475,Fotoğraf,4571
476,Geleneksel Türk Sanatları,4605
477,Heykel,4850
478,Kolaj,4851
479,Bebek&Çocuk Sofra&Mutfak,4903
480,Bebek&Çocuk Ev Tekstil,4909
481,Bebek&Çocuk Ev Gereçleri,4912
482,Bebek&Çocuk Ev Dekorasyon,4915
483,Bebek&Çocuk Aydınlatma,4925
484,Bebek&Çocuk Banyo,4932
485,Dudak Makyajı,642
486,Göz Makyajı,645
487,Makyaj Seti,651
488,Ten Makyajı,652
489,Makyaj Paleti,2952
490,Makyaj Aksesuarları,4830
491,Tırnak,4832
492,Diş Fırçası,625
493,Diş Macunu,626
494,Diş Beyazlatma Ürünü,1526
495,Diş İpi ve Kürdanı,1527
496,Ağız Çalkalama Suyu,2406
497,Diş Fırçası Yedek Başlığı,2407
498,Protez Diş Bakım,2408
499,Dil Temizleyici,4769
500,Dudak Kremi ve Peelingi,611
501,Göz Bakım,612
502,Yüz Güneş Kremi,620
503,Banyo & Duş Ürünleri,628
504,Vücut Bakımı,670
505,Cilt Bakım Seti,740
506,Göz Kremi,2161
507,Cilt Bakım Aletleri,3888
508,Güneş Ürünü,4770
509,Banyo ve Duş Ürünleri,4804
510,El ve Ayak Bakımı,4808
511,Yüz Bakım,4821
512,Cilt Bakım Yağları,4965
513,Hijyenik Ped,636
514,İntim Bakım Ürünü,1602
515,Tampon,2434
516,Günlük Ped,4826
517,Menstrual Kap,5302
518,Saç Boyası,665
519,Saç Serum ve Yağı,667
520,Saç Bakım Seti,744
521,Saç Fırçası ve Tarak,1017
522,Saç Şekillendirici Ürünler,1210
523,Şampuan,2162
524,Saç Kremi,2163
525,Boya Açıcı ,2948
526,Kuru Şampuan,2957
527,Saç Maskesi,3629
528,Saç Açıcı Sprey,3959
529,Saç Kesim Makası,4834
530,Saç Toniği,4835
531,Saç Vitamini,4836
532,Kolonya,659
533,Parfüm,661
534,Parfüm Seti,662
535,Vücut Spreyi,672
536,Deodorant,2426
537,Roll-on ve Stick,2427
538,Parfüm Esansı,4838
539,Manikür Pedikür Seti,750
540,Bakım Çantası,2140
541,Pamuk & Disk,2141
542,Islak Tıraş,1211
543,Ağda & Tüy Dökücü,1542
544,Cımbız,2240
545,Kaş Makası,3628
546,Ütü,469
547,Çay & Kahve Makinesi,856
548,Tartı,868
549,Süpürge,873
550,Dikiş Makinesi,1773
551,Diğer Elektrikli Pişiriciler,2244
552,Kahve Makinesi,2984
553,Vakum Makinesi,3002
554,Kahve Makine Türleri,3067
555,Elektrikli Ev Aletleri Aksesuar,3173
556,Halı Yıkama Makineleri,3492
557,Buharlı Temizleyici,3493
558,Elektronik Çeyiz Seti,4045
559,Ev Aletleri Yedek Parça,4974
560,Akıllı Aydınlatma,4978
561,Yiyecek Hazırlama,5207
562,İçecek Hazırlama,5208
563,Video Kamera,762
564,Foto & Kamera Aksesuarları,764
565,Aynasız Kompakt SLR Makinesi,1885
566,Dijital Fotoğraf Makinesi,1886
567,SLR Fotoğraf Makinesi,1888
568,Sualtı Fotoğraf Makinesi,2166
569,Aksiyon Kamerası,2703
570,Bilgisayar Oyunları,1900
571,Diğer Oyun Konsolları,1901
572,Nintendo Konsolları,1902
573,Playstation Konsolları,1903
574,PSP & Vita Konsolları,1904
575,Xbox Konsolları,1905
576,Nintendo Oyunları,2724
577,Playstation Oyunları,2725
578,PSP & Vita Oyunları,2726
579,Xbox Oyunları,2727
580,Dijital Oyun,2996
581,Ankastre,1268
582,Aspiratör,1269
583,Bulaşık Makinesi,1270
584,Buzdolabı,1271
585,Çamaşır Makinesi,1272
586,Davlumbazlar,1273
587,Derin Dondurucu,1274
588,Fırın,1275
589,Kurutma Makinesi,1276
590,Ocak,1277
591,Su Sebili,1278
592,Mikrodalga Fırın,1774
593,Mini & Midi Fırın,1775
594,Beyaz Eşya Yedek Parça,2994
595,Hava Nemlendirici,3013
